회사명,보험명,약관구분,조항,내용
KB,개인용자동차보험,보통약관,제1편(용어의 정의 및 자동차보험의 구성)>제2조(자동차보험의 구성),"① 보험회사가 판매하는 자동차보험은 ｢ 대인배상Ⅰ ｣, ｢ 대인배상Ⅱ ｣, ｢ 대물배상 ｣, ｢ 자기신체
사고 ｣, ｢ 무보험자동차에 의한 상해 ｣, ｢ 자기차량손해 ｣ 의 6가지 보장종목과 특별약관으로
구성되어 있습니다.
② 보험계약자는 다음과 같은 방법에 의해 자동차보험에 가입합니다.
1. 의무보험： ｢ 자동차손해배상보장법 ｣ 제5조에 의해 보험에 가입할 의무가 있는 자동차
보유자는 ｢ 대인배상Ⅰ ｣ 과 ｢ 대물배상 ｣ ( ｢ 자동차손해배상보장법 ｣ 에서 정한 보상한도에
한함)을 반드시 가입하여야 합니다.
2. 임의보험：의무보험에 가입하는 보험계약자는 의무보험에 해당하지 않는 보장종목을
선택하여 가입할 수 있습니다.
③ 각 보장종목별 보상 내용은 다음과 같으며 상세한 내용은 제2편 자동차보험에서 보상하
는 내용에 규정되어 있습니다.
1. 배상책임: 자동차사고로 인하여 피보험자가 손해배상책임을 짐으로써 입은 손해를 보상
보장종목
보상하는 내용
---
---
가.｢대인배상Ⅰ｣
자동차사고로 다른 사람을 죽게 하거나 다치게 한 경우에｢자동차 손해배상보장법｣에서 정한 한도에서 보상
나.｢대인배상Ⅱ｣
자동차사고로 다른 사람을 죽게 하거나 다치게 한 경우, 그 손해가｢대 인배상Ⅰ｣에서 지급하는 금액을 초과하는 경우에 그 초과손해를 보상
다.｢대물배상｣
자동차사고로 다른 사람의 재물을 없애거나 훼손한 경우에 보상
2. 배상책임 이외의 보장종목: 자동차사고로 인하여 피보험자가 입은 손해를 보상
보장종목
보상하는 내용
---
---
가.｢자기신체사고｣
피보험자가 상해17)를 입은 경우에 보상
나.｢무보험자동차에 의한 상해｣
무보험자동차에 의해 피보험자가 상해를 입은8) 경우에 보상
다.｢자기차량손해｣
피보험자동차에 생긴 손해를 보상
④ 자동차보험료는 보험회사가 금융감독원에 신고한 후 사용하는 '자동차보험요율서'에서
정한 방법에 의하여 계산합니다.
납입할보험료 = 기본보험료 × 특약요율 × 가입자특성요율 × 특별요율
× 우량할인·불량할증요율 × 사고건수별 특성요율
17) 피보험자의 신체에 이상이 있는 점을 뒷받침할 수 있는 의학적 소견이 있는 경우에 한합니다 .
32 KB개인용자동차보험
구분
내용
---
---
기본보험료
차량의 종류, 배기량, 용도, 보험가입금액, 성별, 연령 등에 따라 미리 정해놓은 기본적인 보험료
특약요율
운전자의 연령범위를 제한하는 특약, 가족으로 운전자를 한정하는 특 약 등 가입시에 적용하는 요율
가입자특성요율
보험가입기간이나 법규위반경력에 따라 적용하는 요율
특별요율
자동차의 구조나 운행실태가 같은 종류의 차량과 다른 경우 적용하는 요율
우량할인· 불량할증요율
사고발생 실적에 따라 적용하는 요율
사고건수별 특성요율
직전 3년간 사고유무 및 사고건수에 따라 적용하는 요율"
KB,개인용자동차보험,보통약관,제2편(자동차보험에서 보상하는 내용)>제1장(배상책임)>제1절(대인배상Ⅰ)>제3조(보상하는 손해),"｢ 대인배상Ⅰ ｣ 에서 보험회사는 피보험자가 피보험자동차의 운행으로 인하여 다른 사람을 죽
거나 다치게 하여 ｢ 자동차손해배상보장법 ｣ 제3조에 의한 손해배상책임을 짐으로써 입은 손
해를 보상합니다."
KB,개인용자동차보험,보통약관,제2편(자동차보험에서 보상하는 내용)>제1장(배상책임)>제1절(대인배상Ⅰ)>제4조(피보험자),"｢ 대인배상Ⅰ ｣ 에서 피보험자라 함은 다음 중 어느 하나에 해당하는 자를 말하며, 다음에서
정하는 자 외에도 ｢ 자동차손해배상보장법 ｣ 상 자동차보유자에 해당하는 자가 있는 경우에는
그 자를 ｢ 대인배상Ⅰ ｣ 의 피보험자로 봅니다.
1. 기명피보험자
2. 친족 [18)] 피보험자
3. 승낙피보험자
4. 사용피보험자
5. 운전피보험자"
KB,개인용자동차보험,보통약관,제2편(자동차보험에서 보상하는 내용)>제1장(배상책임)>제1절(대인배상Ⅰ)>제5조(보상하지 않는 손해),"보험계약자 또는 피보험자의 고의로 [19)] 인한 손해는 ｢ 대인배상Ⅰ ｣ 에서 보상하지 않습니다.
다만, ｢ 자동차손해배상보장법 ｣ 제10조의 규정에 따라 피해자가 보험회사에 직접청구를 한
경우, 보험회사는 자동차손해배상보장법령에서 정한 금액을 한도로 피해자에게 손해배상금
을 지급한 다음 지급한 날부터 3년 이내에 고의로 사고를 일으킨 보험계약자나 피보험자에
18) 친족이란 혈연관계에 있거나 혼인으로 맺어진 사람으로서 민법 제 777조에서 규정한 8촌 이내의 혈족, 4촌 이내
의 인척, 배우자를 말합니다.
19) 고의란 자신의 행위로 인해서 발생할 결과를 인식하면서도 그 행위를 하는 것을 말하며, 일정한 결과 발
생 가능성을 인식하면서도 감히 행하는 ‘미필적 고의’를 포함합니다.
보통약관 33
의 정
의 및 자
의 구
게 그 금액의 지급을 청구합니다. [20)]"
KB,개인용자동차보험,보통약관,제2편(자동차보험에서 보상하는 내용)>제1장(배상책임)>제2절(대인배상Ⅱ와 대물배상)>제6조(보상하는 손해),"① ｢ 대인배상Ⅱ ｣ 에서 보험회사는 피보험자가 피보험자동차를 소유ㆍ사용ㆍ관리하는 동안에
생긴 피보험자동차의 사고로 인하여 다른 사람을 죽게 하거나 다치게 하여 법률상 손해
배상책임을 짐으로써 입은 손해( ｢ 대인배상Ⅰ ｣ 에서 보상하는 손해를 초과하는 손해에 한
함)를 보상합니다.
② ｢ 대물배상 ｣ 에서 보험회사는 피보험자가 피보험자동차를 소유ㆍ사용ㆍ관리하는 동안에
생긴 피보험자동차의 사고로 인하여 다른 사람의 재물을 없애거나 훼손하여 법률상 손
해배상책임을 짐으로써 입은 손해를 보상합니다."
KB,개인용자동차보험,보통약관,제2편(자동차보험에서 보상하는 내용)>제1장(배상책임)>제2절(대인배상Ⅱ와 대물배상)>제7조(피보험자),"｢대인배상Ⅱ｣와 ｢대물배상｣에서 피보험자라 함은 다음 중 어느 하나에 해당하는 자를 말합니다.
1. 기명피보험자
2. 친족피보험자
3. 승낙피보험자. 다만, 자동차 취급업자가 업무상 위탁 [21)] 받은 피보험자동차를 사용하거
나 관리하는 경우에는 피보험자로 보지 않습니다.
4. 사용피보험자
5. 운전피보험자. 다만, 자동차 취급업자가 업무상 위탁받은 피보험자동차를 사용하거나
관리하는 경우에는 피보험자로 보지 않습니다."
KB,개인용자동차보험,보통약관,제2편(자동차보험에서 보상하는 내용)>제1장(배상책임)>제2절(대인배상Ⅱ와 대물배상)>제8조(보상하지 않는 손해),"① 다음 중 어느 하나에 해당하는 손해는 ｢대인배상Ⅱ｣와 ｢대물배상｣에서 보상하지 않습니다.
1. 보험계약자 또는 기명피보험자의 고의로 인한 손해
2. 기명피보험자 이외의 피보험자의 고의로 인한 손해
3. 전쟁, 혁명, 내란, 사변 [22)], 폭동 [23)], 소요 [24)] 또는 이와 유사한 사태로 인한 손해
4. 지진, 분화, 태풍, 홍수, 해일 등 천재지변으로 인한 손해
5. 핵연료물질의 직접 또는 간접적인 영향으로 인한 손해
6. 영리를 목적으로 요금이나 대가를 받고 피보험자동차를 반복적으로 사용하거나 빌려
준 때에 생긴 손해. 다만, 다음 각목의 어느 하나에 해당하는 경우에는 보상합니다.
가. 임대차계약(계약기간이 30일을 초과하는 경우에 한함)에 따라 임차인이 피보험자
동차를 전속적으로 사용하는 경우 (다만, 임차인이 피보험자동차를 영리를 목적으로
20) 피보험자의 고의로 인한 손해 발생시 피해자 구제를 위한 절차는 다음과 같이 진행됩니다.
1. 피보험자 고의에 의한 사고, 보험회사는 손해배상금 미지급
2. 피보험자가 피보험자에게 자기부담을 통해 손해배상금을 지급하지 않는 경우 피해자는 자동차손해배상보장법
제 10조에 따라 가해자의 보험회사에 손해배상금 지급 청구
3. 피보험자의 보험회사는 피해자에게 손해배상금을 지급.
4. 보험회사는 피해자에게 지급한 손해배상금에 대해 피보험자에게 청구(3년 이내)
5. 피보험자는 보험회사가 피해자에게 지급한 손해배상금 전액을 보험회사에 지급
21) 업무상 위탁이란 취급업자가 업무를 위해 피보험자동차의 사용 및 관리책임을 맡는 것을 말합니다.(예: 자
동차정비업자에게 정비를 위해 피보험자동차를 맡겨놓은 상태)
22) 사변: 전쟁까지 이르지는 않았으나 경찰의 힘으로는 막을 수 없어 무력을 사용하게 되는 난리를 말합니다.
23) 폭동: 다수인이 집단 행동을 통해 사회의 안녕과 질서 등을 저해하는 것을 말합니다.
24) 소요: 폭동과 유사하나 보다 소규모의 행위로 소동, 시위를 말합니다.
34 KB개인용자동차보험
요금이나 대가를 받고 반복적으로 사용하는 경우에는 보상하지 않습니다.)
나. 피보험자와 동승자가 ｢ 여객자동차운수사업법 ｣ 에 따른 토요일, 일요일 및 공휴일을
제외한 날의 출·퇴근 시간대(오전 7시부터 오전 9시까지 및 오후 6시부터 오후 8시
까지를 말함)에 실제의 출·퇴근 용도로 자택과 직장 사이를 이동하면서 ‘승용차 함께
타기’를 실시한 경우
7. 피보험자가 제3자와 손해배상에 관한 계약을 맺고 있을 때 그 계약으로 인하여 늘어난 손
해 [25)]
8. 피보험자동차를 시험용, 경기용 또는 경기를 위해 연습용으로 사용하던 중 생긴 손해.
다만, 운전면허시험을 위한 도로주행시험용으로 사용하던 중 생긴 손해는 보상합니다.
② 다음 중 어느 하나에 해당하는 사람이 죽거나 다친 경우에는 ｢ 대인배상Ⅱ ｣ 에서 보상하
지 않습니다.
1. 피보험자 또는 그 부모, 배우자 및 자녀
2. 배상책임이 있는 피보험자의 피용자로서 ｢ 산업재해보상보험법 ｣ 에 의한 재해보상을 받
을 수 있는 사람. 다만, 그 사람이 입은 손해가 같은 법에 의한 보상범위를 넘어서는
경우 그 초과손해를 보상합니다.
3. 피보험자동차가 피보험자의 사용자의 업무에 사용되는 경우 그 사용자의 업무에 종사
중인 다른 피용자로서, ｢ 산업재해보상보험법 ｣ 에 의한 재해보상을 받을 수 있는 사람.
다만, 그 사람이 입은 손해가 같은 법에 의한 보상범위를 넘는 경우 그 초과손해를
보상합니다. [26)]
③ 다음 중 어느 하나에 해당하는 손해는 ｢ 대물배상 ｣ 에서 보상하지 않습니다.
1. 피보험자 또는 그 부모, 배우자나 자녀가 소유ㆍ사용ㆍ관리하는 재물에 생긴 손해
2. 피보험자가 사용자의 업무에 종사하고 있을 때 피보험자의 사용자가 소유ㆍ사용ㆍ관
리하는 재물에 생긴 손해
3. 피보험자동차에 싣고 있거나 운송중인 물품에 생긴 손해
4. 다른 사람의 서화, 골동품, 조각물, 그 밖에 미술품과 탑승자와 통행인의 의류나 휴대
품에 생긴 손해. 그러나 탑승자의 신체를 보호할 인명보호장구에 한하여 피해자 1인
당 200만원의 한도에서 실제 손해를 보상합니다.
5. 탑승자와 통행인의 분실 또는 도난으로 인한 소지품에 생긴 손해. 그러나 훼손된 소
지품에 한하여 피해자 1인당 200만원의 한도에서 실제 손해를 보상합니다.
④ 제①항 제2호와 관련해서 보험회사가 제9조(피보험자 개별적용) 제①항에 따라 피해자에
게 손해배상을 하는 경우, 보험회사는 손해배상액을 지급한 날부터 3년 이내에 고의로
사고를 일으킨 피보험자에게 그 금액의 지급을 청구합니다."
KB,개인용자동차보험,보통약관,제2편(자동차보험에서 보상하는 내용)>제1장(배상책임)>제3절(배상책임에서 공통으로 적용할 사항)>제9조(피보험자 개별적용),"① 이 장의 규정은 각각의 피보험자마다 개별적으로 적용 [27)] 합니다. 다만 제8조(보상하지 않
25) 피보험자가 피해자에게 사고발생시 일정 금액을 지급하기로 별도 약정을 했어도 보험회사는 그와 관계없이 약관
에 따른 보험금만 지급한다는 뜻입니다. (예: 버스회사가 승객에게 사고발생시 일정금액을 동일하게 지급한다는
별도 약정을 해도 보험회사는 이에 상관없이 자동차보험 약관에 따라 산정된 금액만 지급)
26) 업무 중 등의 사고 시 피용자는 업무상 재해로 인정될 경우 산업재해보상보험법에 따라 보상받을 수 있습니다.
그 경우 만약 해당 피용자가 입은 손해가 산업재해보상보험법에 따른 보상부분을 넘는 경우 그 초과손해분에 한
해 보상한다는 내용입니다.
27) ‘ 피보험자 모두에게 개별적으로 적용’이란 한 사고로 배상책임을 지는 피보험자가 복수로 존재할 경우 각각의 피
보험자마다 면책사유가 적용되는지 확인하여 한 피보험자와의 관계에서 면책사유가 적용된다 하더라도 다른 피보
험자의 보험금청구권이 발생하면 보험회사의 보상책임이 있다는 의미입니다. 예를 들어 기명피보험자 A가 친구인
B에게 차량을 빌려주었고 B의 종업원 C가 회사의 일을 위하여 차량을 운전하다가 그 회사 업무에 종사 중이던 다
른 종업원 D를 사상케 한 경우 배상책임을 지는 피보험자로는 A와 B 그리고 운전자 C가 됩니다. 그런데 승낙피보
험자 B의 배상책임에 대하여는 피용자재해면책약관, 운전자 C의 배상책임에 대하여는 동료재해면책약관에 의해
보통약관 35
의 정
의 및 자
의 구
는 손해) 제①항 제1호, 제6호, 제8호를 제외합니다.
② 제①항에 따라 제10조(지급보험금의 계산)에 정하는 보험금의 한도가 증액되지는 않습니다."
KB,개인용자동차보험,보통약관,제2편(자동차보험에서 보상하는 내용)>제1장(배상책임)>제3절(배상책임에서 공통으로 적용할 사항)>제10조(지급보험금의 계산),"① ｢대인배상 I｣, ｢대인배상Ⅱ｣, ｢대물배상｣에서 보험회사는 이 약관의 ‘보험금지급기준에 의
해 산출한 금액’과 ‘비용’ [28)] 을 합한 금액에서 ‘공제액’을 공제한 후 보험금으로 지급하되
다 음의 금액을 한도로 합니다.
1. ｢ 대인배상Ⅰ ｣ : 자동차손해배상보장법령에서 정한 기준에 따라 산출한 금액
2. ｢ 대인배상Ⅱ ｣, ｢ 대물배상 ｣ : 보험증권에 기재된 보험가입금액
지급
보험금 =
‘보험금지급기준에 의해 산출한 금액’ 또는 ‘법
원의 확정판결 등 [29)] 에 따라 피보험자가 배상하
여야 할 금액’
+ 비용 - 공제액
② 소송(민사조정, 중재를 포함)이 제기되었을 경우에는 대한민국 법원의 확정판결 등에 따
라 피보험자가 손해배상청구권자에게 배상하여야 할 금액(지연배상금을 포함)을 제1항의
‘보험금지급기준에 의해 산출한 금액’으로 봅니다.
③ 제①항의 ‘비용’은 다음 중 어느 하나에 해당하는 금액을 말합니다. 이 비용은 보험가입
금액과 관계없이 보상하여 드립니다.
1. 손해의 방지와 경감을 위하여 지출한 비용(긴급조치비용을 포함) [30)]
2. 다른 사람으로부터 손해배상을 받을 수 있는 권리의 보전과 행사를 위하여 지출한 필
요비용 또는 유익한 비용 [31)]
3. 그 밖에 보험회사의 동의를 얻어 지출한 비용
④ 제①항의 ‘공제액’은 다음의 금액을 말합니다.
1. ｢ 대인배상Ⅱ ｣ : ｢ 대인배상Ⅰ ｣ 에서 지급되는 금액 또는 피보험자동차가 ｢ 대인배상Ⅰ ｣ 에
가입되지 않은 경우에는 ｢ 대인배상Ⅰ ｣ 에서 지급될 수 있는 금액
2. 「대물배상」: 사고차량을 고칠 때에 엔진, 변속기(트랜스미션), 모터, 구동용배터리 등
부분품을 교체한 경우 교체된 기존 부분품의 감가상각에 해당하는 금액
음주운전, 무면허운전, 마약·약물운전 또는 사고발생시의 조치의무 위반"
KB,개인용자동차보험,보통약관,제2편(자동차보험에서 보상하는 내용)>제1장(배상책임)>제3절(배상책임에서 공통으로 적용할 사항)>제11조,"관련 사고부담금
① 피보험자 본인이 음주운전이나 무면허운전 또는 마약·약물운전을 하는 동안에 생긴 사고 또
는 사고발생 시의 조치의무를 위반한 경우 또는 기명피보험자의 명시적․묵시적 [32)] 승인하에서
피보험자동차의 운전자가 음주운전이나 무면허운전 또는 마약·약물운전을 하는 동안에 생긴
사고 또는 사고발생 시의 조치의무를 위반한 경우로 인하여 보험회사가 ｢대인배상 I｣, ｢대인
배상 Ⅱ｣ 또는 ｢대물배상｣에서 보험금을 지급하는 경우, 피보험자는 다음에서 정하는 사고부
담금을 보험회사에 납입하여야 합니다.
1. 「대인배상 Ⅰ」 : ｢ 대인배상Ⅰ ｣ 한도 내 지급보험금
면책되지만 기명피보험자 A는 피해자 D와 사용, 피용관계나 동료관계에 있지 않아 A가 피해자에게 지는 배상책임
에 대해 보험사의 보상책임은 발생하게 됩니다.
28) 비용은 손해의 감소를 위해 타당하게 사용된 금액입니다. 지급보험금 산출식에 의해 계산된 보험금이 보험가입금
액을 초과하더라도 비용에 해당하는 항목은 보상해 드립니다 .
29) 법원의 확정판결 또는 법원의 확정판결과 동일한 효력을 갖는 조정결정, 중재판정 등을 말합니다.
30) 예시: 사고발생 후 응급환자 이송을 위해 타당하게 지출한 비용
31) 예시: 사고 증거(블랙박스 영상 등)의 확보, 소송의 제기 등에 소요되는 비용 등
32) 명시적. 묵시적이란 법률상 추상적인 개념으로서 사안별로 법률적 판단에 따라야 하는 내용입니다. 다만,
통상적인 의미는 다음과 같습니다.
① “명시적 승인”이란 내용이나 뜻을 분명하게 나타내어 해당 행위에 대해 승인하는 것을 말합니다.
② “묵시적 승인”이란 직접적인 말 또는 행동이 아니라 간접적으로 해당 행위에 대해 승인하는 것을 말합니다.
36 KB개인용자동차보험
2. 「대인배상 Ⅱ」 : 1사고당 1억원
3. 「대물배상」
가. ｢ 자동차손해배상보장법 ｣ 제5조 제2항의 규정에 따라 자동차보유자가 의무적으로
가입하여야 하는 ｢ 대물배상 ｣ 보험가입금액 이하 손해 : 지급보험금
나. 「자동차손해배상보장법」 제5조 제2항의 규정에 따라 자동차보유자가 의무적으로
가입하여야 하는 「대물배상」 보험가입금액 초과 손해 : 1사고당 5,000만원
② 피보험자는 지체 없이 음주운전, 무면허운전, 마약ㆍ약물운전 또는 사고발생 시의 조치
의무위반 사고부담금을 보험회사에 납입하여야 합니다. 다만, 피보험자가 경제적인 사유
등으로 이 사고부담금을 미납하였을 때 보험회사는 피해자에게 이 사고부담금을 포함하
여 손해배상금을 우선 지급하고 피보험자에게 이 사고부담금의 지급을 청구할 수 있습
니다."
