"회사명","보험명","조항","내용"
"KB","개인용자동차보험","보통약관 > 제1편 용어의 정의 및 자동차보험의 구성 > 제1조 (용어의 정의)","이 약관에서 사용하는 용어의 뜻은 다음과 같습니다.
 1. 가지급금 
자동차사고로 인하여 소요되는 비용을 충당하기 위하여, 보험회사가 피보험자에 대한
보상책임이나 피해자에 대한 손해배상책임을 확정하기 전에 그 비용의 일부를 피보험자
또는 피해자에게 미리 지급하는 것을 말합니다.
 2. 단기요율 
보험기간이 1년 미만인 보험계약에 적용되는 보험요율 [1)] 을 말합니다.
 3. 마약 또는 약물 등 
｢ 도로교통법 ｣ 제45조에서 정한 ‘마약, 대마, 향정신성의약품 [2)] 그 밖의 행정안전부령이
정하는 것’을 말합니다.
 4. 무면허운전(조종) 
｢ 도로교통법 ｣ 또는 ｢ 건설기계관리법 ｣ 의 운전(조종)면허에 관한 규정에 위반되는 무면허
또는 무자격운전(조종)을 말하며, 운전(조종)면허의 효력이 정지된 상황이거나 운전(조종)
이 금지된 상황에서 운전(조종)하는 것을 포함합니다.
 5. 무보험자동차 [3)] 
무보험자동차: 피보험자동차가 아니면서 피보험자를 죽게 하거나 다치게 한 자동차로서
다음 중 어느 하나에 해당하는 것을 말합니다. 이 경우 자동차라 함은 ｢ 자동차관리법 ｣
에 의한 자동차, ｢ 건설기계관리법 ｣ 에 의한 건설기계, ｢ 군수품관리법 ｣ 에 의한 차량, ｢ 도로
교통법 ｣ 에 의한 원동기장치자전거 및 개인형이동장치, ｢ 농업기계화촉진법 ｣ 에 의한 농업
기계를 말하며, 피보험자가 소유한 자동차를 제외합니다.
가. 자동차보험 ｢ 대인배상Ⅱ ｣ 나 공제계약 [4)] 이 없는 자동차
나. 자동차보험 ｢ 대인배상Ⅱ ｣ 나 공제계약에서 보상하지 않는 경우에 해당하는 자동차
다. 이 약관에서 보상될 수 있는 금액보다 보상한도가 낮은 자동차보험의 ｢ 대인배상Ⅱ ｣
나 공제계약이 적용되는 자동차. 다만, 피보험자를 죽게 하거나 다치게 한 자동차가
2대 이상이고 각각의 자동차에 적용되는 자동차보험의 ｢ 대인배상Ⅱ ｣ 또는 공제계약
에서 보상되는 금액의 합계액이 이 약관에서 보상될 수 있는 금액보다 낮은 경우에
한하는 그 각각의 자동차
라. 피보험자를 죽게 하거나, 다치게 한 자동차가 명확히 밝혀지지 않은 경우 그 자동차
(「도로교통법」에 의한 개인형이동장치는 제외)
 6. 부분품, 부속품, 부속기계장치 
가. 부분품: 엔진, 변속기(트랜스미션) 등 자동차가 공장에서 출고될 때 원형 그대로 부
착되어 자동차의 조성부분이 되는 재료를 말합니다.
나. 부속품: 자동차에 정착 [5)] 또는 장비 [6)] 되어 있는 물품을 말하며, 자동차 실내에서만 사
1) 요율은 ‘요금의 정도나 비율’을 말합니다. 보험요율은 보험료 계산 시 가입조건에 따라 적용되는 보험료 수
준 등을 의미합니다.
2) 향정신성의약품이란 인간 중추신경계에 작용하는 약물로 오용하거나 남용할 경우 인체에 심각한 위해가 있
다고 인정되는 의약품을 말합니다.
3) 무보험자동차상해에서는 대인배상1만 가입한 경우에도 무보험자동차에 해당합니다.
4) 공제조합이 각자 조합원으로부터 받은 출자금을 자본으로 조합원의 자동차사고 시에 공제금을 지급하는 공제사
업에 의한 계약을 말합니다. 예)일반택시운송사업자가 전국택시공제조합과 체결한 계약
5) 정착: 볼트, 너트 등으로 고정되어 있어서 공구 등을 사용하지 않으면 쉽게 분리할 수 없는 상태
6) 장비: 자동차의 기능을 충분히 발휘하기 위해 갖추어 두고 있는 상태 또는 법령에 따라 자동차에 갖추어 두고 있는 상태
보통약관 29
용
어
의
정
의
및
자
동
차
보
험
의
구
성
자
동
차
보
험
에
서
보
상
하
는
내
용
보
험
금
또
는
손
해
배
상
의
청
구
일
반
사
항
용하는 것을 목적으로 해서 자동차에 고정되어 있는 내비게이션이나 고속도로통행
료단말기 [7)] 를 포함합니다. 다만 다음의 물품을 제외합니다.
(1) 연료, 보디커버, 세차용품
(2) 법령 [8)] 에 의해 자동차에 정착하거나 장비하는 것이 금지되어 있는 물건
(3) 통상 장식품으로 보는 물건
(4) 부속기계장치
다. 부속기계장치: 의료방역차, 검사측정차, 전원차, 방송중계차 등 자동차등록증상 그
용도가 특정한 자동차에 정착되거나 장비되어 있는 정밀기계장치를 말합니다.
 7. 운전(조종) 
｢ 도로교통법 ｣ 상 도로{도로교통법 제44조(술에 취한 상태에서의 운전금지)·제45조(과로한
때 등의 운전 금지)·제54조(사고발생 시의 조치) 제1항·제148조(벌칙) 및 제148조의2(벌
칙)의 경우에는 도로 외의 곳을 포함)}에서 자동차 또는 건설기계를 그 본래의 사용방법
에 따라 사용하는 것을 말합니다.
 8. 운행 
사람 또는 물건의 운송 여부와 관계없이 자동차를 그 용법에 따라 사용하거나 관리하는
것을 말합니다( ｢ 자동차손해배상보장법 ｣ 제2조 제2호).
 (운전과 운행 비교 설명) 
‘ 운전 ’은 도로교통법상 도로로 정의되는 공간에서 차마(차량)을 그 본래의 사용방법에 따
라 사용하는 것(조종을 포함)을 말하는 것이며, ‘ 운행 ’은 자동차손해배상법에서 정의되는
행위로 장소와 관계없이 자동차를 그 용법에 따라 사용, 관리하는 것을 말합니다. 운행 
 은 운전보다 넓은 개념에 해당합니다 .
 9. 음주운전(조종) 
｢도로교통법｣에 정한 술에 취한 상태에서 운전(조종)하거나 음주측정에 불응하는 행위
를 말합니다.
 10. 의무보험 
｢자동차손해배상보장법｣ 제5조에 따라 자동차보유자가 의무적으로 가입하는 보험을 말합니다.
 11. 자동차보유자 
자동차의 소유자나 자동차를 사용할 권리가 있는 자로서 자기를 위하여 자동차를 운행
하는 자를 말합니다(｢자동차손해배상보장법｣ 제2조 제3호).
 12. 자동차 취급업자 
자동차정비업, 대리운전업, 주차장업, 급유업, 세차업, 자동차판매업, 자동차탁송업 등 자
동차를 취급하는 것을 업으로 하는 자를 말하며 이들 또는 이들의 피용자 [9)] 가 법인인
경우에는 그 법인의 이사와 감사를 포함합니다.
 13. 피보험자 
보험회사에 보상을 청구할 수 있는 자로서 다음 중 어느 하나에 해당하는 자를 말하며,
구체적인 피보험자의 범위는 각각의 보장종목에서 정하는 바에 따릅니다.
가. 기명피보험자: 피보험자동차를 소유ㆍ사용ㆍ관리하는 자 중에서 보험계약자가 지정
하여 보험증권의 기명피보험자란에 기재되어 있는 피보험자를 말합니다.
나. 친족피보험자: 기명피보험자와 같이 살거나 살림을 같이 하는 친족 [10)] 으로서 피보험
자동차를 사용하거나 관리하고 있는 자를 말합니다.
7) 고속도로통행료단말기 : 고속도로 통행료 등의 지급을 위해 고속도로 요금소와 통행료 등에 관한 정보를 주고받
는 송수신장치(예 : 하이패스 단말기)
8) ‘법령’은 자동차관리법 제3장 제29조를 말하며, ‘금지되어있는 물건’이란 자동차 운행에 있어 본인 및 다른
차량의 운행에 지장을 주는 것으로 적법하지 않은 튜닝품, 경광등 사이렌, 번호판 가림장치 등을 말합니다.
9) 피용자란 직업 종류에 관계없이 사업이나 사업장에 노동력 등을 제공하는 사람을 말합니다. 사용자와 피용
자의 관계는 ‘유효한 고용관계’에만 국한되는 것이 아니라 어떤 사람이 다른 사람을 위해 그 지휘, 감독 아
래 그 의사에 따라 사업을 집행하는 관계에 있을 때에도 성립될 수 있습니다.
10) 같이 살거나 살림을 같이 하는 친족이란 기명피보험자와 동일가옥에 살거나 민법 제777조(친족:8촌 이내
혈족, 4촌 이내 인척, 배우자)에 의해 생계를 같이하거나 부양관계에 있는 사람을 말합니다.
다. 승낙피보험자: 기명피보험자의 승낙을 얻어 피보험자동차를 사용하거나 관리하고 있
는 자를 말합니다.
라. 사용피보험자: 기명피보험자의 사용자 또는 계약에 따라 기명피보험자의 사용자에
준하는 지위를 얻은 자. 다만, 기명피보험자가 피보험자동차를 사용자 [11)] 의 업무에
사용하고 있는 때에 한합니다.
마. 운전피보험자: 다른 피보험자(기명피보험자, 친족피보험자, 승낙피보험자, 사용피보험
자를 말함)를 위하여 피보험자동차를 운전중인 자(운전보조자를 포함)를 말합니다.
 14. 피보험자동차 
보험증권에 기재된 자동차를 말합니다 .
 15. 피보험자의 부모, 배우자, 자녀 
가. 피보험자의 부모: 피보험자의 부모, 양부모를 말합니다.
나. 피보험자의 배우자: 법률상의 배우자 [12)] 또는 사실혼 [13)] 관계에 있는 배우자를 말합니다.
다. 피보험자의 자녀: 법률상의 혼인 관계에서 출생한 자녀, 사실혼관계에서 출생한 자녀,
양자 또는 양녀를 말합니다.
 16. 휴대품,인명보호장구 및 소지품 
가. 휴대품: 통상적으로 몸에 지니고 있는 물품으로 현금, 유가증권, 만년필, 소모품, 손
목시계, 귀금속, 장신구, 그 밖에 이와 유사한 물품을 말합니다.
나. 인명보호장구 : 외부충격으로부터 탑승자의 신체를 보호하는 특수기능이 포함된 것
으로 ｢도로교통법 시행규칙｣ 제32조에서 정하는 승차용 안전모 또는 전용의류 [14)] 를
말합니다.
다. 소지품: 휴대품을 제외한 물품으로 정착 [15)] 되어 있지 않고 휴대할 수 있는 물품을 말합니
다. [16)]
 17. 사고발생 시의 조치의무 위반 
｢ 도로교통법」에서 정한 사고발생 시의 조치를 하지 않은 경우를 말합니다. 다만, 주·정
차된 차만 손괴한 것이 분명한 경우에 피해자에게 인적사항을 제공하지 아니한 경우는
제외합니다.
 18. 보험가액 
가. 보험계약을 체결하는 경우 보험계약 체결 당시 보험개발원이 정한 최근의 자동차보
험 차량기준가액표(적용요령 포함)에 정한 가액을 말합니다.
나. 보험계약 체결 후 사고가 발생한 경우 보험사고 발생 당시 보험개발원이 정한 최근
의 자동차보험 차량기준가액표(적용요령 포함)에 정한 가액을 말합니다.
 19. 마약·약물운전 
마약 또는 약물 등의 영향으로 인하여 정상적인 운전을 하지 못할 우려가 있는 상태에
서 운전하는 행위를 말합니다.
 20. 새 부분품 
｢ 자동차관리법 ｣ 제58조 제5항 제2호에 따른 신부품(자동차제작사가 주문하여 생산한 부
품이나 품질인증부품을 포함한 대체부품 중 사용되지 아니한 부품)을 말합니다.
11) 근로자, 피용자에게 지휘 명령를 하는 자로서 사업주, 경영담당자 등을 말합니다.
12) 법률상의 배우자란 가족관계의 등록 등에 관한 법률의 규정에 의하여 신고 및 수리된 배우자를 말합니다.
13) 사실혼: 혼인 신고를 하지 않았으나 당사자간 혼인의 의사가 있는 상태로 함께 살며 생계를 같이 하는 남녀 관계
14) 예: 바이크 전용 슈트, 에어백 등 (라이더자켓ㆍ팬츠ㆍ부츠 등 이와 유사한 일반의류는 제외)
15) 정착: 볼트, 너트 등으로 고정되어 있어서 공구 등을 사용하지 않으면 쉽게 분리할 수 없는 상태
16) 예: 휴대전화기, 노트북, 캠코더, 카메라, 음성재생기(CD 플레이어, MP3 플레이어, 카세트테이프 플레이어 등), 녹
음기, 전자수첩, 전자사전, 휴대용라디오, 핸드백, 서류가방, 골프채 등
보통약관 31
용
어
의
정
의
및
자
동
차
보
험
의
구
성
자
동
차
보
험
에
서
보
상
하
는
내
용
보
험
금
또
는
손
해
배
상
의
청
구
일
반
사
항"
"KB","개인용자동차보험","보통약관 > 제1편 용어의 정의 및 자동차보험의 구성 > 제2조 (자동차보험의 구성)","① 보험회사가 판매하는 자동차보험은 ｢ 대인배상Ⅰ ｣, ｢ 대인배상Ⅱ ｣, ｢ 대물배상 ｣, ｢ 자기신체
사고 ｣, ｢ 무보험자동차에 의한 상해 ｣, ｢ 자기차량손해 ｣ 의 6가지 보장종목과 특별약관으로
구성되어 있습니다.
② 보험계약자는 다음과 같은 방법에 의해 자동차보험에 가입합니다.
1. 의무보험： ｢ 자동차손해배상보장법 ｣ 제5조에 의해 보험에 가입할 의무가 있는 자동차
보유자는 ｢ 대인배상Ⅰ ｣ 과 ｢ 대물배상 ｣ ( ｢ 자동차손해배상보장법 ｣ 에서 정한 보상한도에
한함)을 반드시 가입하여야 합니다.
2. 임의보험：의무보험에 가입하는 보험계약자는 의무보험에 해당하지 않는 보장종목을
선택하여 가입할 수 있습니다.
③ 각 보장종목별 보상 내용은 다음과 같으며 상세한 내용은 제2편 자동차보험에서 보상하
는 내용에 규정되어 있습니다.
1. 배상책임: 자동차사고로 인하여 피보험자가 손해배상책임을 짐으로써 입은 손해를 보상
보장종목, 보상하는 내용
가.｢대인배상Ⅰ｣, 자동차사고로 다른 사람을 죽게 하거나 다치게 한 경우에｢자동차<br>손해배상보장법｣에서 정한 한도에서 보상
나.｢대인배상Ⅱ｣, 자동차사고로 다른 사람을 죽게 하거나 다치게 한 경우, 그 손해가｢대<br>인배상Ⅰ｣에서 지급하는 금액을 초과하는 경우에 그 초과손해를 보상<br>
다.｢대물배상｣, 자동차사고로 다른 사람의 재물을 없애거나 훼손한 경우에 보상<br>
2. 배상책임 이외의 보장종목: 자동차사고로 인하여 피보험자가 입은 손해를 보상
보장종목, 보상하는 내용
가.｢자기신체사고｣, 피보험자가 상해17)를 입은 경우에 보상
나.｢무보험자동차에<br>의한 상해｣, <br>무보험자동차에 의해 피보험자가 상해를 입은8) 경우에 보상
다.｢자기차량손해｣, 피보험자동차에 생긴 손해를 보상
④ 자동차보험료는 보험회사가 금융감독원에 신고한 후 사용하는 '자동차보험요율서'에서
정한 방법에 의하여 계산합니다.
<예 시 
납입할보험료 = 기본보험료 × 특약요율 × 가입자특성요율 × 특별요율
× 우량할인·불량할증요율 × 사고건수별 특성요율
17) 피보험자의 신체에 이상이 있는 점을 뒷받침할 수 있는 의학적 소견이 있는 경우에 한합니다 .
구분, 내용
기본보험료, 차량의 종류, 배기량, 용도, 보험가입금액, 성별, 연령 등에 따라 미리<br>정해놓은 기본적인 보험료
특약요율, 운전자의 연령범위를 제한하는 특약, 가족으로 운전자를 한정하는 특<br>약 등 가입시에 적용하는 요율
가입자특성요율, 보험가입기간이나 법규위반경력에 따라 적용하는 요율
특별요율, 자동차의 구조나 운행실태가 같은 종류의 차량과 다른 경우 적용하는 요율
우량할인·<br>불량할증요율, 사고발생 실적에 따라 적용하는 요율
사고건수별<br>특성요율, 직전 3년간 사고유무 및 사고건수에 따라 적용하는 요율"
"KB","개인용자동차보험","보통약관 > 제2편 자동차보험에서 보상하는 내용 > 제1장 배상책임 > 제1절 대인배상Ⅰ > 제3조 (보상하는 손해)","｢ 대인배상Ⅰ ｣ 에서 보험회사는 피보험자가 피보험자동차의 운행으로 인하여 다른 사람을 죽
거나 다치게 하여 ｢ 자동차손해배상보장법 ｣ 제3조에 의한 손해배상책임을 짐으로써 입은 손
해를 보상합니다."
"KB","개인용자동차보험","보통약관 > 제2편 자동차보험에서 보상하는 내용 > 제1장 배상책임 > 제1절 대인배상Ⅰ > 제4조 (피보험자)","｢ 대인배상Ⅰ ｣ 에서 피보험자라 함은 다음 중 어느 하나에 해당하는 자를 말하며, 다음에서
정하는 자 외에도 ｢ 자동차손해배상보장법 ｣ 상 자동차보유자에 해당하는 자가 있는 경우에는
그 자를 ｢ 대인배상Ⅰ ｣ 의 피보험자로 봅니다.
1. 기명피보험자
2. 친족 [18)] 피보험자
3. 승낙피보험자
4. 사용피보험자
5. 운전피보험자"
"KB","개인용자동차보험","보통약관 > 제2편 자동차보험에서 보상하는 내용 > 제1장 배상책임 > 제1절 대인배상Ⅰ > 제5조 (보상하지 않는 손해)","보험계약자 또는 피보험자의 고의로 [19)] 인한 손해는 ｢ 대인배상Ⅰ ｣ 에서 보상하지 않습니다.
다만, ｢ 자동차손해배상보장법 ｣ 제10조의 규정에 따라 피해자가 보험회사에 직접청구를 한
경우, 보험회사는 자동차손해배상보장법령에서 정한 금액을 한도로 피해자에게 손해배상금
을 지급한 다음 지급한 날부터 3년 이내에 고의로 사고를 일으킨 보험계약자나 피보험자에
18) 친족이란 혈연관계에 있거나 혼인으로 맺어진 사람으로서 민법 제 777조에서 규정한 8촌 이내의 혈족, 4촌 이내
의 인척, 배우자를 말합니다.
19) 고의란 자신의 행위로 인해서 발생할 결과를 인식하면서도 그 행위를 하는 것을 말하며, 일정한 결과 발
생 가능성을 인식하면서도 감히 행하는 ‘미필적 고의’를 포함합니다.
보통약관 33
용
어
의 정
의 및 자
동
차
보
험
의 구
성
자
동
차
보
험
에
서
보
상
하
는
내
용
보
험
금
또
는
손
해
배
상
의
청
구
일
반
사
항
게 그 금액의 지급을 청구합니다. [20)]"
"KB","개인용자동차보험","보통약관 > 제2편 자동차보험에서 보상하는 내용 > 제1장 배상책임 > 제2절 대인배상Ⅱ와 대물배상 > 제6조 (보상하는 손해)","① ｢ 대인배상Ⅱ ｣ 에서 보험회사는 피보험자가 피보험자동차를 소유ㆍ사용ㆍ관리하는 동안에
생긴 피보험자동차의 사고로 인하여 다른 사람을 죽게 하거나 다치게 하여 법률상 손해
배상책임을 짐으로써 입은 손해( ｢ 대인배상Ⅰ ｣ 에서 보상하는 손해를 초과하는 손해에 한
함)를 보상합니다.
② ｢ 대물배상 ｣ 에서 보험회사는 피보험자가 피보험자동차를 소유ㆍ사용ㆍ관리하는 동안에
생긴 피보험자동차의 사고로 인하여 다른 사람의 재물을 없애거나 훼손하여 법률상 손
해배상책임을 짐으로써 입은 손해를 보상합니다."
"KB","개인용자동차보험","보통약관 > 제2편 자동차보험에서 보상하는 내용 > 제1장 배상책임 > 제2절 대인배상Ⅱ와 대물배상 > 제7조 (피보험자)","｢대인배상Ⅱ｣와 ｢대물배상｣에서 피보험자라 함은 다음 중 어느 하나에 해당하는 자를 말합니다.
1. 기명피보험자
2. 친족피보험자
3. 승낙피보험자. 다만, 자동차 취급업자가 업무상 위탁 [21)] 받은 피보험자동차를 사용하거
나 관리하는 경우에는 피보험자로 보지 않습니다.
4. 사용피보험자
5. 운전피보험자. 다만, 자동차 취급업자가 업무상 위탁받은 피보험자동차를 사용하거나
관리하는 경우에는 피보험자로 보지 않습니다."
"KB","개인용자동차보험","보통약관 > 제2편 자동차보험에서 보상하는 내용 > 제1장 배상책임 > 제2절 대인배상Ⅱ와 대물배상 > 제8조 (보상하지 않는 손해)","① 다음 중 어느 하나에 해당하는 손해는 ｢대인배상Ⅱ｣와 ｢대물배상｣에서 보상하지 않습니다.
1. 보험계약자 또는 기명피보험자의 고의로 인한 손해
2. 기명피보험자 이외의 피보험자의 고의로 인한 손해
3. 전쟁, 혁명, 내란, 사변 [22)], 폭동 [23)], 소요 [24)] 또는 이와 유사한 사태로 인한 손해
4. 지진, 분화, 태풍, 홍수, 해일 등 천재지변으로 인한 손해
5. 핵연료물질의 직접 또는 간접적인 영향으로 인한 손해
6. 영리를 목적으로 요금이나 대가를 받고 피보험자동차를 반복적으로 사용하거나 빌려
준 때에 생긴 손해. 다만, 다음 각목의 어느 하나에 해당하는 경우에는 보상합니다.
가. 임대차계약(계약기간이 30일을 초과하는 경우에 한함)에 따라 임차인이 피보험자
동차를 전속적으로 사용하는 경우 (다만, 임차인이 피보험자동차를 영리를 목적으로
20) 피보험자의 고의로 인한 손해 발생시 피해자 구제를 위한 절차는 다음과 같이 진행됩니다.
1. 피보험자 고의에 의한 사고, 보험회사는 손해배상금 미지급
2. 피보험자가 피보험자에게 자기부담을 통해 손해배상금을 지급하지 않는 경우 피해자는 자동차손해배상보장법
제 10조에 따라 가해자의 보험회사에 손해배상금 지급 청구
3. 피보험자의 보험회사는 피해자에게 손해배상금을 지급.
4. 보험회사는 피해자에게 지급한 손해배상금에 대해 피보험자에게 청구(3년 이내)
5. 피보험자는 보험회사가 피해자에게 지급한 손해배상금 전액을 보험회사에 지급
21) 업무상 위탁이란 취급업자가 업무를 위해 피보험자동차의 사용 및 관리책임을 맡는 것을 말합니다.(예: 자
동차정비업자에게 정비를 위해 피보험자동차를 맡겨놓은 상태)
22) 사변: 전쟁까지 이르지는 않았으나 경찰의 힘으로는 막을 수 없어 무력을 사용하게 되는 난리를 말합니다.
23) 폭동: 다수인이 집단 행동을 통해 사회의 안녕과 질서 등을 저해하는 것을 말합니다.
24) 소요: 폭동과 유사하나 보다 소규모의 행위로 소동, 시위를 말합니다.
요금이나 대가를 받고 반복적으로 사용하는 경우에는 보상하지 않습니다.)
나. 피보험자와 동승자가 ｢ 여객자동차운수사업법 ｣ 에 따른 토요일, 일요일 및 공휴일을
제외한 날의 출·퇴근 시간대(오전 7시부터 오전 9시까지 및 오후 6시부터 오후 8시
까지를 말함)에 실제의 출·퇴근 용도로 자택과 직장 사이를 이동하면서 ‘승용차 함께
타기’를 실시한 경우
7. 피보험자가 제3자와 손해배상에 관한 계약을 맺고 있을 때 그 계약으로 인하여 늘어난 손
해 [25)]
8. 피보험자동차를 시험용, 경기용 또는 경기를 위해 연습용으로 사용하던 중 생긴 손해.
다만, 운전면허시험을 위한 도로주행시험용으로 사용하던 중 생긴 손해는 보상합니다.
② 다음 중 어느 하나에 해당하는 사람이 죽거나 다친 경우에는 ｢ 대인배상Ⅱ ｣ 에서 보상하
지 않습니다.
1. 피보험자 또는 그 부모, 배우자 및 자녀
2. 배상책임이 있는 피보험자의 피용자로서 ｢ 산업재해보상보험법 ｣ 에 의한 재해보상을 받
을 수 있는 사람. 다만, 그 사람이 입은 손해가 같은 법에 의한 보상범위를 넘어서는
경우 그 초과손해를 보상합니다.
3. 피보험자동차가 피보험자의 사용자의 업무에 사용되는 경우 그 사용자의 업무에 종사
중인 다른 피용자로서, ｢ 산업재해보상보험법 ｣ 에 의한 재해보상을 받을 수 있는 사람.
다만, 그 사람이 입은 손해가 같은 법에 의한 보상범위를 넘는 경우 그 초과손해를
보상합니다. [26)]
③ 다음 중 어느 하나에 해당하는 손해는 ｢ 대물배상 ｣ 에서 보상하지 않습니다.
1. 피보험자 또는 그 부모, 배우자나 자녀가 소유ㆍ사용ㆍ관리하는 재물에 생긴 손해
2. 피보험자가 사용자의 업무에 종사하고 있을 때 피보험자의 사용자가 소유ㆍ사용ㆍ관
리하는 재물에 생긴 손해
3. 피보험자동차에 싣고 있거나 운송중인 물품에 생긴 손해
4. 다른 사람의 서화, 골동품, 조각물, 그 밖에 미술품과 탑승자와 통행인의 의류나 휴대
품에 생긴 손해. 그러나 탑승자의 신체를 보호할 인명보호장구에 한하여 피해자 1인
당 200만원의 한도에서 실제 손해를 보상합니다.
5. 탑승자와 통행인의 분실 또는 도난으로 인한 소지품에 생긴 손해. 그러나 훼손된 소
지품에 한하여 피해자 1인당 200만원의 한도에서 실제 손해를 보상합니다.
④ 제①항 제2호와 관련해서 보험회사가 제9조(피보험자 개별적용) 제①항에 따라 피해자에
게 손해배상을 하는 경우, 보험회사는 손해배상액을 지급한 날부터 3년 이내에 고의로
사고를 일으킨 피보험자에게 그 금액의 지급을 청구합니다."
"KB","개인용자동차보험","보통약관 > 제2편 자동차보험에서 보상하는 내용 > 제1장 배상책임 > 제3절 배상책임에서 공통으로 적용할 사항 > 제9조 (피보험자 개별적용)","① 이 장의 규정은 각각의 피보험자마다 개별적으로 적용 [27)] 합니다. 다만 제8조(보상하지 않
25) 피보험자가 피해자에게 사고발생시 일정 금액을 지급하기로 별도 약정을 했어도 보험회사는 그와 관계없이 약관
에 따른 보험금만 지급한다는 뜻입니다. (예: 버스회사가 승객에게 사고발생시 일정금액을 동일하게 지급한다는
별도 약정을 해도 보험회사는 이에 상관없이 자동차보험 약관에 따라 산정된 금액만 지급)
26) 업무 중 등의 사고 시 피용자는 업무상 재해로 인정될 경우 산업재해보상보험법에 따라 보상받을 수 있습니다.
그 경우 만약 해당 피용자가 입은 손해가 산업재해보상보험법에 따른 보상부분을 넘는 경우 그 초과손해분에 한
해 보상한다는 내용입니다.
27) ‘ 피보험자 모두에게 개별적으로 적용’이란 한 사고로 배상책임을 지는 피보험자가 복수로 존재할 경우 각각의 피
보험자마다 면책사유가 적용되는지 확인하여 한 피보험자와의 관계에서 면책사유가 적용된다 하더라도 다른 피보
험자의 보험금청구권이 발생하면 보험회사의 보상책임이 있다는 의미입니다. 예를 들어 기명피보험자 A가 친구인
B에게 차량을 빌려주었고 B의 종업원 C가 회사의 일을 위하여 차량을 운전하다가 그 회사 업무에 종사 중이던 다
른 종업원 D를 사상케 한 경우 배상책임을 지는 피보험자로는 A와 B 그리고 운전자 C가 됩니다. 그런데 승낙피보
험자 B의 배상책임에 대하여는 피용자재해면책약관, 운전자 C의 배상책임에 대하여는 동료재해면책약관에 의해
보통약관 35
용
어
의 정
의 및 자
동
차
보
험
의 구
성
자
동
차
보
험
에
서
보
상
하
는
내
용
보
험
금
또
는
손
해
배
상
의
청
구
일
반
사
항
는 손해) 제①항 제1호, 제6호, 제8호를 제외합니다.
② 제①항에 따라 제10조(지급보험금의 계산)에 정하는 보험금의 한도가 증액되지는 않습니다."
"KB","개인용자동차보험","보통약관 > 제2편 자동차보험에서 보상하는 내용 > 제1장 배상책임 > 제3절 배상책임에서 공통으로 적용할 사항 > 제10조 (지급보험금의 계산)","① ｢대인배상 I｣, ｢대인배상Ⅱ｣, ｢대물배상｣에서 보험회사는 이 약관의 ‘보험금지급기준에 의
해 산출한 금액’과 ‘비용’ [28)] 을 합한 금액에서 ‘공제액’을 공제한 후 보험금으로 지급하되
다 음의 금액을 한도로 합니다.
1. ｢ 대인배상Ⅰ ｣ : 자동차손해배상보장법령에서 정한 기준에 따라 산출한 금액
2. ｢ 대인배상Ⅱ ｣, ｢ 대물배상 ｣ : 보험증권에 기재된 보험가입금액
지급
보험금 =
‘보험금지급기준에 의해 산출한 금액’ 또는 ‘법
원의 확정판결 등 [29)] 에 따라 피보험자가 배상하
여야 할 금액’
+ 비용 - 공제액
② 소송(민사조정, 중재를 포함)이 제기되었을 경우에는 대한민국 법원의 확정판결 등에 따
라 피보험자가 손해배상청구권자에게 배상하여야 할 금액(지연배상금을 포함)을 제1항의
‘보험금지급기준에 의해 산출한 금액’으로 봅니다.
③ 제①항의 ‘비용’은 다음 중 어느 하나에 해당하는 금액을 말합니다. 이 비용은 보험가입
금액과 관계없이 보상하여 드립니다.
1. 손해의 방지와 경감을 위하여 지출한 비용(긴급조치비용을 포함) [30)]
2. 다른 사람으로부터 손해배상을 받을 수 있는 권리의 보전과 행사를 위하여 지출한 필
요비용 또는 유익한 비용 [31)]
3. 그 밖에 보험회사의 동의를 얻어 지출한 비용
④ 제①항의 ‘공제액’은 다음의 금액을 말합니다.
1. ｢ 대인배상Ⅱ ｣ : ｢ 대인배상Ⅰ ｣ 에서 지급되는 금액 또는 피보험자동차가 ｢ 대인배상Ⅰ ｣ 에
가입되지 않은 경우에는 ｢ 대인배상Ⅰ ｣ 에서 지급될 수 있는 금액
2. 「대물배상」: 사고차량을 고칠 때에 엔진, 변속기(트랜스미션), 모터, 구동용배터리 등
부분품을 교체한 경우 교체된 기존 부분품의 감가상각에 해당하는 금액
음주운전, 무면허운전, 마약·약물운전 또는 사고발생시의 조치의무 위반"
